SalaryID,PlayerName,SeasonStartYear,Salary,InflationAdjSalary
368,Eric Snow,1996,"$247,500","$429,130"
369,Larry Stewart,1996,"$247,500","$429,130"
370,Gerald Wilkins,1996,"$247,500","$429,130"
371,Derek Strong,1996,"$247,500","$429,130"
372,Doug Overton,1996,"$247,500","$429,130"
373,Mark Bradtke,1996,"$247,500","$429,130"
374,Mark Davis,1996,"$247,500","$429,130"
375,Rex Chapman,1996,"$247,500","$429,130"
376,Darrin Hancock,1996,"$247,500","$429,130"
377,Reggie Jordan,1996,"$247,500","$429,130"
378,Tyus Edney,1996,"$247,500","$429,130"
379,Kevin Salvadori,1996,"$247,500","$429,130"
380,Dominique Wilkins,1996,"$247,500","$429,130"
381,Walt Williams,1996,"$247,500","$429,130"
382,Ben Wallace,1996,"$247,500","$429,130"
383,Jaren Jackson Jr,1996,"$247,500","$429,130"
384,Ashraf Amaya,1996,"$247,500","$429,130"
385,Matt Fish,1996,"$247,500","$429,130"
386,Mark Hendrickson,1996,"$247,000","$428,263"
387,Brett Szabo,1996,"$220,000","$381,449"
388,Steve Hamer,1996,"$220,000","$381,449"
389,Malik Rose,1996,"$220,000","$381,449"
390,Carlos Strong,1996,"$220,000","$381,449"
391,Reggie Geary,1996,"$220,000","$381,449"
392,Erick Strickland,1996,"$220,000","$381,449"
393,Darvin Ham,1996,"$220,000","$381,449"
394,Marcus Mann,1996,"$220,000","$381,449"
395,Ray Owes,1996,"$220,000","$381,449"
396,Emanual Davis,1996,"$220,000","$381,449"
397,Randy Livingston,1996,"$220,000","$381,449"
398,Travis Knight,1996,"$220,000","$381,449"
399,Chris Robinson,1996,"$220,000","$381,449"
400,James Scott,1996,"$220,000","$381,449"
401,Virginijus Praskevicius,1996,"$220,000","$381,449"
402,Amal McCaskill,1996,"$220,000","$381,449"
403,Ben Davis,1996,"$220,000","$381,449"
404,Marcus Brown,1996,"$220,000","$381,449"
405,Donald Whiteside,1996,"$220,000","$381,449"
406,Shandon Anderson,1996,"$220,000","$381,449"
407,Earl Cureton,1996,"$205,200","$355,788"
408,John Long,1996,"$205,200","$355,788"
409,Kenny Smith,1996,"$190,100","$329,606"
410,Lloyd Daniels,1996,"$184,100","$319,203"
411,Henry James,1996,"$181,100","$314,002"
412,Stephen Howard,1996,"$181,100","$314,002"
413,Aaron Williams,1996,"$169,000","$293,022"
414,Robert Werdann,1996,"$166,000","$287,820"
415,Gaylon Nickerson,1996,"$152,900","$265,107"
416,Michael Jordan,1997,"$33,140,000","$56,169,715"
417,Patrick Ewing,1997,"$20,500,000","$34,745,901"
418,Horace Grant,1997,"$14,285,714","$24,213,171"
419,Shaquille O'Neal,1997,"$12,857,143","$21,791,854"
420,David Robinson,1997,"$12,397,440","$21,012,694"
421,Alonzo Mourning,1997,"$11,254,800","$19,076,008"
422,Juwan Howard,1997,"$11,250,000","$19,067,872"
423,Hakeem Olajuwon,1997,"$11,156,000","$18,908,550"
424,Gary Payton,1997,"$10,514,688","$17,821,576"
425,Dikembe Mutombo,1997,"$9,615,187","$16,296,992"
426,Reggie Miller,1997,"$9,031,850","$15,308,281"
427,Chris Webber,1997,"$9,000,000","$15,254,298"
428,Shawn Kemp,1997,"$8,600,000","$14,576,329"
429,Larry Johnson,1997,"$8,460,714","$14,340,250"
430,Derrick Coleman,1997,"$8,002,800","$13,564,121"
431,Kevin Johnson,1997,"$8,000,000","$13,559,376"
432,Latrell Sprewell,1997,"$7,770,000","$13,169,544"
433,Anfernee Hardaway,1997,"$7,580,000","$12,847,508"
434,Elden Campbell,1997,"$7,000,000","$11,864,454"
435,Danny Manning,1997,"$6,833,333","$11,581,966"
