GameID,GameType,HomeTeam,AwayTeam,Date
180,Regular,Philadelphia 76ers,Los Angeles Lakers,26-11-1996
181,Regular,Golden State Warriors,Miami Heat,26-11-1996
182,Regular,Dallas Mavericks,San Antonio Spurs,26-11-1996
183,Regular,Charlotte Hornets,Seattle SuperSonics,26-11-1996
184,Regular,Atlanta Hawks,Vancouver Grizzlies,26-11-1996
185,Regular,Denver Nuggets,Phoenix Suns,26-11-1996
186,Regular,Utah Jazz,Denver Nuggets,27-11-1996
187,Regular,San Antonio Spurs,Portland Trail Blazers,27-11-1996
188,Regular,Phoenix Suns,New Jersey Nets,27-11-1996
189,Regular,Orlando Magic,Atlanta Hawks,27-11-1996
190,Regular,Minnesota Timberwolves,Seattle SuperSonics,27-11-1996
191,Regular,Toronto Raptors,Charlotte Hornets,27-11-1996
192,Regular,Milwaukee Bucks,Cleveland Cavaliers,27-11-1996
193,Regular,Los Angeles Clippers,Miami Heat,27-11-1996
194,Regular,Detroit Pistons,Vancouver Grizzlies,27-11-1996
195,Regular,Boston Celtics,Los Angeles Lakers,27-11-1996
196,Regular,Golden State Warriors,New Jersey Nets,28-11-1996
197,Regular,Indiana Pacers,Sacramento Kings,28-11-1996
198,Regular,Portland Trail Blazers,Golden State Warriors,29-11-1996
199,Regular,Atlanta Hawks,Washington Bullets,29-11-1996
200,Regular,Boston Celtics,Houston Rockets,29-11-1996
201,Regular,Dallas Mavericks,Chicago Bulls,29-11-1996
202,Regular,Denver Nuggets,Minnesota Timberwolves,29-11-1996
203,Regular,Detroit Pistons,Los Angeles Lakers,29-11-1996
204,Regular,Indiana Pacers,Vancouver Grizzlies,29-11-1996
205,Regular,Philadelphia 76ers,Orlando Magic,29-11-1996
206,Regular,Utah Jazz,Los Angeles Clippers,29-11-1996
207,Regular,Seattle SuperSonics,Phoenix Suns,29-11-1996
208,Regular,San Antonio Spurs,Chicago Bulls,30-11-1996
209,Regular,Washington Bullets,Houston Rockets,30-11-1996
210,Regular,Philadelphia 76ers,Vancouver Grizzlies,30-11-1996
211,Regular,Los Angeles Clippers,New Jersey Nets,30-11-1996
212,Regular,Minnesota Timberwolves,Toronto Raptors,30-11-1996
213,Regular,Cleveland Cavaliers,Orlando Magic,30-11-1996
214,Regular,Miami Heat,Boston Celtics,30-11-1996
215,Regular,New York Knicks,Sacramento Kings,30-11-1996
216,Regular,Milwaukee Bucks,Charlotte Hornets,30-11-1996
217,Regular,Detroit Pistons,Sacramento Kings,01-12-1996
218,Regular,Golden State Warriors,Portland Trail Blazers,01-12-1996
219,Regular,Los Angeles Lakers,Denver Nuggets,01-12-1996
220,Regular,Seattle SuperSonics,Utah Jazz,01-12-1996
221,Regular,Utah Jazz,Charlotte Hornets,02-12-1996
222,Regular,Orlando Magic,Dallas Mavericks,02-12-1996
223,Regular,Toronto Raptors,Houston Rockets,02-12-1996
224,Regular,Atlanta Hawks,Boston Celtics,03-12-1996
225,Regular,Cleveland Cavaliers,Toronto Raptors,03-12-1996
226,Regular,Golden State Warriors,Denver Nuggets,03-12-1996
227,Regular,Los Angeles Clippers,Charlotte Hornets,03-12-1996
228,Regular,Los Angeles Lakers,Seattle SuperSonics,03-12-1996
229,Regular,Milwaukee Bucks,Chicago Bulls,03-12-1996
230,Regular,Minnesota Timberwolves,Sacramento Kings,03-12-1996
231,Regular,New York Knicks,Miami Heat,03-12-1996
232,Regular,Portland Trail Blazers,Indiana Pacers,03-12-1996
233,Regular,Vancouver Grizzlies,Indiana Pacers,04-12-1996
234,Regular,Utah Jazz,Los Angeles Lakers,04-12-1996
235,Regular,San Antonio Spurs,Philadelphia 76ers,04-12-1996
236,Regular,Orlando Magic,Cleveland Cavaliers,04-12-1996
237,Regular,New Jersey Nets,New York Knicks,04-12-1996
238,Regular,Miami Heat,Dallas Mavericks,04-12-1996
239,Regular,Houston Rockets,Boston Celtics,04-12-1996
240,Regular,Detroit Pistons,Atlanta Hawks,04-12-1996
241,Regular,Phoenix Suns,Golden State Warriors,04-12-1996
242,Regular,Chicago Bulls,Los Angeles Clippers,05-12-1996
243,Regular,Dallas Mavericks,Philadelphia 76ers,05-12-1996
244,Regular,Denver Nuggets,Portland Trail Blazers,05-12-1996
245,Regular,Seattle SuperSonics,Minnesota Timberwolves,05-12-1996
246,Regular,Toronto Raptors,Washington Bullets,05-12-1996
247,Regular,Sacramento Kings,Phoenix Suns,06-12-1996
248,Regular,Utah Jazz,Minnesota Timberwolves,06-12-1996
249,Regular,Portland Trail Blazers,Charlotte Hornets,06-12-1996
250,Regular,San Antonio Spurs,Vancouver Grizzlies,06-12-1996
251,Regular,Los Angeles Lakers,Orlando Magic,06-12-1996
252,Regular,Golden State Warriors,Indiana Pacers,06-12-1996
253,Regular,Detroit Pistons,Cleveland Cavaliers,06-12-1996
254,Regular,Miami Heat,New York Knicks,06-12-1996
255,Regular,Boston Celtics,New Jersey Nets,06-12-1996
256,Regular,Washington Bullets,Milwaukee Bucks,07-12-1996
257,Regular,Seattle SuperSonics,Charlotte Hornets,07-12-1996
258,Regular,New York Knicks,Los Angeles Clippers,07-12-1996
259,Regular,Denver Nuggets,Utah Jazz,07-12-1996
260,Regular,Houston Rockets,Philadelphia 76ers,07-12-1996
261,Regular,Dallas Mavericks,Vancouver Grizzlies,07-12-1996
262,Regular,Chicago Bulls,Miami Heat,07-12-1996
263,Regular,New Jersey Nets,Detroit Pistons,07-12-1996
264,Regular,Atlanta Hawks,Toronto Raptors,07-12-1996
265,Regular,Cleveland Cavaliers,Los Angeles Clippers,08-12-1996
266,Regular,Golden State Warriors,San Antonio Spurs,08-12-1996
267,Regular,Los Angeles Lakers,Minnesota Timberwolves,08-12-1996
268,Regular,Milwaukee Bucks,Boston Celtics,08-12-1996
269,Regular,Phoenix Suns,Indiana Pacers,08-12-1996
270,Regular,Sacramento Kings,Orlando Magic,08-12-1996
271,Regular,Toronto Raptors,Chicago Bulls,08-12-1996
272,Regular,Vancouver Grizzlies,Charlotte Hornets,09-12-1996
273,Regular,Philadelphia 76ers,Seattle SuperSonics,09-12-1996
274,Regular,Cleveland Cavaliers,Miami Heat,10-12-1996
275,Regular,Atlanta Hawks,Denver Nuggets,10-12-1996
276,Regular,Toronto Raptors,Golden State Warriors,10-12-1996
277,Regular,Sacramento Kings,Los Angeles Lakers,10-12-1996
278,Regular,Portland Trail Blazers,Orlando Magic,10-12-1996
279,Regular,Utah Jazz,Indiana Pacers,10-12-1996
280,Regular,New York Knicks,Washington Bullets,10-12-1996
281,Regular,Milwaukee Bucks,Detroit Pistons,10-12-1996
282,Regular,Los Angeles Clippers,Dallas Mavericks,10-12-1996
283,Regular,Phoenix Suns,San Antonio Spurs,10-12-1996
284,Regular,Minnesota Timberwolves,Houston Rockets,10-12-1996
285,Regular,Boston Celtics,Toronto Raptors,11-12-1996
286,Regular,Charlotte Hornets,Denver Nuggets,11-12-1996
287,Regular,Chicago Bulls,Minnesota Timberwolves,11-12-1996
288,Regular,Los Angeles Lakers,Indiana Pacers,11-12-1996
289,Regular,New Jersey Nets,Seattle SuperSonics,11-12-1996
290,Regular,Philadelphia 76ers,Miami Heat,11-12-1996
291,Regular,Washington Bullets,Cleveland Cavaliers,11-12-1996
292,Regular,Utah Jazz,Phoenix Suns,12-12-1996
293,Regular,Sacramento Kings,Dallas Mavericks,12-12-1996
294,Regular,Houston Rockets,Detroit Pistons,12-12-1996
295,Regular,New York Knicks,Golden State Warriors,12-12-1996
296,Regular,Portland Trail Blazers,Vancouver Grizzlies,12-12-1996
297,Regular,Los Angeles Clippers,San Antonio Spurs,12-12-1996
298,Regular,Milwaukee Bucks,Seattle SuperSonics,12-12-1996
299,Regular,Cleveland Cavaliers,Golden State Warriors,13-12-1996
300,Regular,Washington Bullets,Denver Nuggets,13-12-1996
301,Regular,Vancouver Grizzlies,Orlando Magic,13-12-1996
302,Regular,New Jersey Nets,Chicago Bulls,13-12-1996
303,Regular,Charlotte Hornets,Philadelphia 76ers,13-12-1996
304,Regular,Los Angeles Lakers,Portland Trail Blazers,13-12-1996
305,Regular,Indiana Pacers,Boston Celtics,13-12-1996
306,Regular,Minnesota Timberwolves,Phoenix Suns,13-12-1996
307,Regular,Seattle SuperSonics,Houston Rockets,14-12-1996
308,Regular,San Antonio Spurs,Dallas Mavericks,14-12-1996
309,Regular,Minnesota Timberwolves,Cleveland Cavaliers,14-12-1996
310,Regular,Utah Jazz,Orlando Magic,14-12-1996
311,Regular,Miami Heat,Toronto Raptors,14-12-1996
312,Regular,Los Angeles Clippers,Sacramento Kings,14-12-1996
313,Regular,Chicago Bulls,Charlotte Hornets,14-12-1996
314,Regular,Atlanta Hawks,Philadelphia 76ers,14-12-1996
315,Regular,Milwaukee Bucks,New Jersey Nets,14-12-1996
316,Regular,New York Knicks,Denver Nuggets,14-12-1996
317,Regular,Detroit Pistons,Boston Celtics,15-12-1996
318,Regular,Golden State Warriors,Washington Bullets,15-12-1996
319,Regular,Phoenix Suns,Vancouver Grizzlies,15-12-1996
320,Regular,Portland Trail Blazers,Houston Rockets,15-12-1996
321,Regular,Boston Celtics,Milwaukee Bucks,16-12-1996
322,Regular,Los Angeles Clippers,Phoenix Suns,16-12-1996
323,Regular,Sacramento Kings,Washington Bullets,16-12-1996
324,Regular,Toronto Raptors,Detroit Pistons,16-12-1996
325,Regular,Seattle SuperSonics,Golden State Warriors,17-12-1996
326,Regular,Vancouver Grizzlies,Houston Rockets,17-12-1996
327,Regular,Philadelphia 76ers,Charlotte Hornets,17-12-1996
328,Regular,New York Knicks,Utah Jazz,17-12-1996
329,Regular,Miami Heat,Indiana Pacers,17-12-1996
330,Regular,Dallas Mavericks,Atlanta Hawks,17-12-1996
331,Regular,Chicago Bulls,Los Angeles Lakers,17-12-1996
332,Regular,New Jersey Nets,Toronto Raptors,17-12-1996
333,Regular,Cleveland Cavaliers,New Jersey Nets,18-12-1996
334,Regular,Denver Nuggets,Sacramento Kings,18-12-1996
335,Regular,Detroit Pistons,New York Knicks,18-12-1996
336,Regular,Golden State Warriors,Minnesota Timberwolves,18-12-1996
337,Regular,Milwaukee Bucks,Los Angeles Lakers,18-12-1996
338,Regular,Orlando Magic,Indiana Pacers,18-12-1996
339,Regular,Phoenix Suns,Washington Bullets,18-12-1996
340,Regular,Portland Trail Blazers,Seattle SuperSonics,18-12-1996
341,Regular,Vancouver Grizzlies,Dallas Mavericks,19-12-1996
342,Regular,Toronto Raptors,Milwaukee Bucks,19-12-1996
343,Regular,Sacramento Kings,Minnesota Timberwolves,19-12-1996
344,Regular,Miami Heat,Utah Jazz,19-12-1996
345,Regular,Houston Rockets,San Antonio Spurs,19-12-1996
346,Regular,Charlotte Hornets,Chicago Bulls,19-12-1996
347,Regular,Los Angeles Clippers,Washington Bullets,19-12-1996
348,Regular,Atlanta Hawks,New Jersey Nets,20-12-1996
349,Regular,Cleveland Cavaliers,Toronto Raptors,20-12-1996
350,Regular,Denver Nuggets,Vancouver Grizzlies,20-12-1996
351,Regular,Indiana Pacers,Detroit Pistons,20-12-1996
352,Regular,Orlando Magic,Utah Jazz,20-12-1996
353,Regular,Philadelphia 76ers,New York Knicks,20-12-1996
