JumpballID,GameID,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
2942944,24894,,,
2942945,24894,,,
2942946,24894,,,
2942947,24894,,,
2942948,24894,,,
2942949,24894,,,
2942950,24894,,,
2942951,24894,,,
2942952,24894,,,
2942953,24894,,,
2942954,24894,,,
2942955,24894,,,
2942956,24894,,,
2942957,24894,,,
2942958,24894,,,
2942959,24894,,,
2942960,24894,,,
2942961,24894,,,
2942962,24894,,,
2942963,24894,,,
2942964,24894,,,
2942965,24894,,,
2942966,24894,,,
2942967,24894,,,
2942968,24894,,,
2942969,24894,,,
2942970,24894,,,
2942971,24894,,,
2942972,24894,,,
2942973,24894,,,
2942974,24894,,,
2942975,24894,,,
2942976,24894,,,
2942977,24894,,,
2942978,24894,,,
2942979,24894,,,
2942980,24894,,,
2942981,24894,,,
2942982,24894,,,
2942983,24894,,,
2942984,24894,,,
2942985,24894,,,
2942986,24894,,,
2942987,24894,,,
2942988,24894,,,
2942989,24894,,,
2942990,24894,,,
2942991,24894,,,
2942992,24894,,,
2942993,24894,,,
2942994,24894,,,
2942995,24894,,,
2942996,24894,,,
2942997,24894,,,
2942998,24894,,,
2942999,24894,,,
2943000,24894,,,
2943001,24894,,,
2943002,24894,,,
2943003,24894,,,
2943004,24894,,,
2943005,24894,,,
2943006,24894,,,
2943007,24894,,,
2943008,24894,,,
2943009,24894,,,
2943010,24894,,,
2943011,24894,,,
2943012,24894,,,
2943013,24894,,,
2943014,24894,,,
2943015,24894,,,
2943016,24894,,,
2943017,24894,,,
2943018,24894,,,
2943019,24894,,,
2943020,24894,,,
2943021,24894,,,
2943022,24894,,,
2943023,24894,,,
2943024,24894,,,
2943025,24894,,,
2943026,24894,,,
2943027,24894,,,
2943028,24894,,,
2943029,24894,,,
2943030,24894,,,
2943031,24894,,,
2943032,24894,,,
2943033,24894,,,
2943034,24894,,,
2943035,24894,,,
2943036,24894,,,
2943037,24894,,,
2943038,24894,,,
2943039,24894,,,
